Sweep_DateTime,Buy/Sell,Limit,SL,TP,H4_High,H4_Low,Bias,Momentum,Liquidity_Level,Tag_DateTime,Close_DateTime,Return,Type,Currency Pair
08/08/2022 15:00,SELL,1.021,1.0222,1.0175,1.02478,1.0163,-1,0,1.02148,08/08/2022 15:15,09/08/2022 8:00,-1,Potential,EURUSD
12/08/2022 9:30,SELL,1.03,1.0311,1.0265,1.0361,1.02108,-1,1,1.03038,12/08/2022 9:45,12/08/2022 14:00,3,FractalSweep,EURUSD
31/08/2022 8:45,BUY,0.9991,0.9971,1.0052,1.00898,0.99208,1,1,0.99989,31/08/2022 9:15,31/08/2022 14:30,3,Potential,EURUSD
31/08/2022 8:45,BUY,0.9991,0.9971,1.0052,1.00898,0.99208,1,1,0.99821,31/08/2022 9:15,31/08/2022 14:30,3,M15Sweep,EURUSD
19/09/2022 13:15,BUY,0.9988,0.9973,1.0031,1.0139,0.99554,-2,1,0.99804,19/09/2022 13:30,19/09/2022 22:00,3,FractalSweep,EURUSD
20/09/2022 10:00,BUY,1.0007,0.9997,1.0039,1.0139,0.99554,-2,1,1.00002,20/09/2022 10:15,20/09/2022 11:30,-1,M15Sweep,EURUSD
22/09/2022 15:00,BUY,0.9822,0.9809,0.9859,0.99708,0.98112,1,1,0.9812,22/09/2022 15:15,23/09/2022 6:45,-1,Continued,EURUSD
26/09/2022 14:45,BUY,0.9655,0.9632,0.9723,0.9838,0.96266,-1,1,0.96475,26/09/2022 15:00,26/09/2022 15:30,-1,FractalSweep,EURUSD
14/10/2022 9:30,BUY,0.9732,0.9716,0.978,0.98019,0.96959,1,1,0.97447,14/10/2022 9:45,14/10/2022 11:45,-1,Potential,EURUSD
16/11/2022 9:15,SELL,1.0411,1.0427,1.0362,1.04443,1.03225,-1,1,1.04206,16/11/2022 9:30,16/11/2022 10:00,-1,M15Sweep,EURUSD
22/11/2022 14:15,BUY,1.0264,1.0251,1.0302,1.03734,1.02267,-2,1,1.0254,22/11/2022 14:30,22/11/2022 18:45,3,Continued,EURUSD
29/11/2022 13:30,BUY,1.0363,1.0351,1.0399,1.04101,1.03371,1,1,1.03557,29/11/2022 13:45,29/11/2022 13:45,-1,M15Sweep,EURUSD
08/12/2022 9:45,BUY,1.0498,1.0487,1.0533,1.05496,1.0462,1,1,1.05121,08/12/2022 10:00,08/12/2022 14:00,3,Potential,EURUSD
23/12/2022 8:30,BUY,1.0609,1.0596,1.0646,1.06562,1.0582,1,1,1.06018,23/12/2022 8:45,23/12/2022 13:30,-1,Potential,EURUSD
23/12/2022 9:00,BUY,1.0606,1.0593,1.0645,1.06562,1.0582,1,1,1.05989,23/12/2022 9:15,23/12/2022 14:30,-1,M15Sweep,EURUSD
17/01/2023 9:45,BUY,1.0819,1.0808,1.0852,1.087,1.07803,-1,1,1.08118,17/01/2023 10:00,17/01/2023 12:45,3,FractalSweep,EURUSD
27/01/2023 8:15,BUY,1.0875,1.0862,1.0914,1.09215,1.08634,-2,1,1.08662,27/01/2023 8:30,27/01/2023 13:00,-1,FractalSweep,EURUSD
20/02/2023 14:30,SELL,1.0684,1.0694,1.0655,1.0696,1.06322,-2,1,1.0689,20/02/2023 15:15,21/02/2023 9:15,3,Continued,EURUSD
20/02/2023 15:00,SELL,1.0686,1.0697,1.0652,1.0696,1.06322,-2,1,1.06921,20/02/2023 15:15,21/02/2023 9:15,3,M15Sweep,EURUSD
