Close Datetime,Currency Pair,total_return,drawdown,num_trades
2020-09-30,GBPUSD,-1,1,1
2020-10-31,GBPUSD,-1,1,1
2020-11-30,GBPUSD,3,0,1
2020-12-31,GBPUSD,2,1,2
2021-01-31,GBPUSD,1,2,3
2021-03-31,GBPUSD,-1,3,5
2021-04-30,GBPUSD,-5,5,9
2021-05-31,GBPUSD,-2,2,2
2021-06-30,GBPUSD,0,2,4
2021-07-31,GBPUSD,-4,4,4
2021-08-31,GBPUSD,-4,4,4
2021-09-30,GBPUSD,-1,1,1
2021-10-31,GBPUSD,1,2,3
2021-12-31,GBPUSD,1,1,3
2022-01-31,GBPUSD,-3,3,3
2022-02-28,GBPUSD,-2,2,2
2022-03-31,GBPUSD,2,3,6
2022-06-30,GBPUSD,-1,1,1
2022-08-31,GBPUSD,3,2,5
2022-09-30,GBPUSD,2,4,6
2022-10-31,GBPUSD,-3,3,3
2022-11-30,GBPUSD,-2,2,2
2022-12-31,GBPUSD,1,1,3
2023-01-31,GBPUSD,-1,1,1
2023-02-28,GBPUSD,-2,2,2
2023-03-31,GBPUSD,1,1,3
2023-04-30,GBPUSD,-2,5,6
2023-05-31,GBPUSD,2,1,2
2023-07-31,GBPUSD,0,2,4
2023-08-31,GBPUSD,4,3,8
2023-09-30,GBPUSD,-1,1,1
