Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2020-09-29 14:15:00,2020-09-29 09:00:00,SELL,1.2873,1.2891,1.282,-1,GBPUSD
2020-10-29 11:00:00,2020-10-29 08:45:00,BUY,1.2995,1.2978,1.3045,-1,GBPUSD
2020-11-24 12:30:00,2020-11-24 09:00:00,SELL,1.3368,1.3383,1.3321,3,GBPUSD
2020-12-15 12:30:00,2020-12-15 08:45:00,BUY,1.3307,1.3277,1.3396,3,GBPUSD
2020-12-24 08:45:00,2020-12-24 08:15:00,SELL,1.3572,1.3588,1.3525,-1,GBPUSD
2021-01-06 00:45:00,2021-01-05 13:30:00,BUY,1.3578,1.3556000000000001,1.3644,3,GBPUSD
2021-01-18 15:30:00,2021-01-18 15:00:00,SELL,1.3563,1.3573,1.3533,-1,GBPUSD
2021-01-18 15:30:00,2021-01-18 15:00:00,SELL,1.3563,1.3573,1.3533,-1,GBPUSD
2021-03-10 09:45:00,2021-03-10 08:45:00,SELL,1.3894,1.3906,1.386,-1,GBPUSD
2021-03-15 14:00:00,2021-03-15 08:45:00,SELL,1.3939,1.395,1.3904,3,GBPUSD
2021-03-15 14:15:00,2021-03-15 13:15:00,BUY,1.3915,1.3901000000000001,1.3955,-1,GBPUSD
2021-03-16 16:00:00,2021-03-16 13:30:00,SELL,1.3881,1.3897,1.3835,-1,GBPUSD
2021-03-17 18:00:00,2021-03-17 13:30:00,SELL,1.3897,1.3915,1.3843,-1,GBPUSD
2021-04-08 14:45:00,2021-04-08 13:30:00,BUY,1.3758,1.3735,1.3827,-1,GBPUSD
2021-04-23 14:45:00,2021-04-23 14:15:00,BUY,1.3857,1.3843,1.3897,-1,GBPUSD
2021-04-26 19:00:00,2021-04-26 14:45:00,SELL,1.389,1.3907,1.3841,-1,GBPUSD
2021-04-28 14:00:00,2021-04-28 09:45:00,SELL,1.3887,1.39,1.3846,-1,GBPUSD
2021-04-28 14:00:00,2021-04-28 09:45:00,SELL,1.3887,1.39,1.3846,-1,GBPUSD
2021-04-28 18:30:00,2021-04-27 08:45:00,BUY,1.3873,1.3855,1.3925,3,GBPUSD
2021-04-30 12:30:00,2021-04-30 09:00:00,BUY,1.391,1.3900000000000001,1.394,-1,GBPUSD
2021-04-30 12:30:00,2021-04-30 09:30:00,BUY,1.3911,1.3898,1.395,-1,GBPUSD
2021-04-30 12:30:00,2021-04-30 10:00:00,BUY,1.3913,1.3898,1.3957,-1,GBPUSD
2021-05-06 11:00:00,2021-05-05 14:45:00,SELL,1.3907,1.3923999999999999,1.3855,-1,GBPUSD
2021-05-20 15:00:00,2021-05-20 14:15:00,SELL,1.4153,1.4164999999999999,1.4117,-1,GBPUSD
2021-06-07 17:45:00,2021-06-07 14:30:00,SELL,1.4168,1.4188,1.4109,-1,GBPUSD
