,Date,Payout,Deficit
0,2021-02-01 16:00:00,3183.0480000000002,
1,2021-03-01 16:00:00,,3940.4
2,2021-04-01 16:00:00,,2048.02
3,2021-05-01 16:00:00,,3084.96
4,2021-06-01 16:00:00,,1175.73
5,2021-07-01 16:00:00,2205.0400000000004,
6,2021-08-01 16:00:00,,1000.0
7,2021-09-01 16:00:00,,1000.0
8,2021-10-01 16:00:00,1479.44,
9,2021-11-01 16:00:00,1576.0,
10,2021-12-01 16:00:00,,1000.0
11,2022-01-01 16:00:00,,1000.0
12,2022-02-01 16:00:00,,1000.0
13,2022-03-01 16:00:00,,1000.0
14,2022-04-01 16:00:00,,1990.0
15,2022-05-01 16:00:00,,1990.0
16,2022-06-01 16:00:00,,5851.99
17,2022-07-01 16:00:00,,6793.47
18,2022-08-01 16:00:00,,9561.79
19,2022-09-01 16:00:00,,7780.16
20,2022-10-01 16:00:00,,6903.79
21,2022-11-01 16:00:00,,5069.8
22,2022-12-01 16:00:00,,6958.91
23,2023-01-01 16:00:00,,8810.43
24,2023-02-01 16:00:00,,3314.26
25,2023-03-01 16:00:00,1238.5280000000002,
26,2023-04-01 16:00:00,,1990.0
27,2023-05-01 16:00:00,,1990.0
28,2023-06-01 16:00:00,760.24,
29,2023-07-01 16:00:00,4023.2800000000007,
30,2023-08-01 16:00:00,2351.216,
31,2023-09-01 16:00:00,,2970.1
