,Date,Payout,Deficit
0,2020-11-01 14:45:00,760.24,
1,2020-12-01 14:45:00,,1000.0
2,2021-01-01 14:45:00,760.24,
3,2021-02-01 08:45:00,3183.0480000000002,
4,2021-03-01 14:45:00,,3940.4
5,2021-04-01 14:45:00,,4957.3
6,2021-05-01 14:45:00,,6903.79
7,2021-06-01 14:45:00,,7889.32
8,2021-07-01 14:45:00,,3314.26
9,2021-08-01 14:45:00,,4281.12
10,2021-09-01 14:45:00,,5294.41
11,2021-10-01 14:45:00,,3543.02
12,2021-11-01 14:45:00,5071.8240000000005,
13,2021-12-01 14:45:00,,59.2
14,2022-01-01 14:45:00,2351.216,
15,2022-02-01 14:45:00,,2970.1
16,2022-03-01 10:00:00,,177.5
17,2022-04-01 14:45:00,1382.9920000000002,
18,2022-05-01 14:45:00,,2970.1
