Datetime,H4_high,H4_low,Last_Fractal_High,Last_Fractal_Low,Directional_bias,Bar_High,Bar_Low,result
2023-09-01 14:00:00,1.0853,1.078,0,0,,1.0853,1.078,-1
2023-09-01 18:00:00,1.0853,1.07716,1.0853,1.078,,1.07845,1.07716,-1
2023-09-04 10:00:00,1.0853,1.07716,1.08087,1.078,,1.08087,1.07934,-1
2023-09-04 14:00:00,1.0853,1.07716,1.08087,1.07832,,1.08,1.07832,-1
2023-09-05 06:00:00,1.08087,1.0742,1.08087,1.07832,0,1.07863,1.0742,-1
2023-09-05 10:00:00,1.08087,1.07167,1.08087,1.07832,-2,1.07491,1.07167,-1
2023-09-05 14:00:00,1.08087,1.07062,1.08087,1.07832,-2,1.07323,1.07062,-1
2023-09-05 14:00:00,1.08087,1.07062,1.08087,1.07062,-2,1.07323,1.07062,-1
2023-09-06 10:00:00,1.08087,1.07062,1.07488,1.07062,-2,1.07488,1.07251,-1
2023-09-06 14:00:00,1.07488,1.07025,1.07488,1.07062,1,1.07375,1.07025,-1
2023-09-06 14:00:00,1.07488,1.07025,1.07488,1.07025,1,1.07375,1.07025,-1
2023-09-07 02:00:00,1.07488,1.07025,1.07317,1.07025,1,1.07317,1.07155,-1
2023-09-07 10:00:00,1.07317,1.06861,1.07317,1.07025,0,1.07148,1.06861,1
2023-09-07 10:00:00,1.07317,1.06861,1.07317,1.06861,0,1.07148,1.06861,1
2023-09-08 10:00:00,1.07317,1.06861,1.07317,1.06941,0,1.07262,1.06941,1
2023-09-08 14:00:00,1.07438,1.06941,1.07317,1.06941,-1,1.07438,1.07004,1
2023-09-08 14:00:00,1.07438,1.06941,1.07438,1.06941,-1,1.07438,1.07004,1
2023-09-11 02:00:00,1.07438,1.06941,1.07412,1.06941,-1,1.07412,1.07188,1
2023-09-11 10:00:00,1.07438,1.06941,1.07412,1.07154,-1,1.07369,1.07154,1
2023-09-11 14:00:00,1.07593,1.07154,1.07412,1.07154,0,1.07593,1.07347,1
2023-09-11 22:00:00,1.07692,1.07154,1.07412,1.07154,0,1.07692,1.07375,-1
2023-09-11 22:00:00,1.07692,1.07154,1.07692,1.07154,0,1.07692,1.07375,-1
2023-09-12 06:00:00,1.07692,1.07121,1.07692,1.07154,1,1.07408,1.07121,-1
2023-09-12 10:00:00,1.07692,1.07055,1.07692,1.07154,1,1.07243,1.07055,-1
2023-09-12 10:00:00,1.07692,1.07055,1.07692,1.07055,1,1.07243,1.07055,-1
2023-09-12 18:00:00,1.07692,1.07055,1.07648,1.07055,1,1.07648,1.07245,-1
2023-09-12 22:00:00,1.07692,1.07055,1.07648,1.07055,1,1.07648,1.07525,-1
2023-09-13 10:00:00,1.07692,1.07055,1.07614,1.07055,1,1.07614,1.0711,-1
2023-09-14 02:00:00,1.07692,1.07055,1.07521,1.07055,1,1.07521,1.07316,-1
2023-09-14 10:00:00,1.07521,1.06553,1.07521,1.07055,0,1.07476,1.06553,-1
2023-09-14 14:00:00,1.07521,1.06318,1.07521,1.07055,-2,1.06755,1.06318,
2023-09-14 14:00:00,1.07521,1.06318,1.07521,1.06318,-2,1.06755,1.06318,
