Close Datetime,Currency Pair,total_return,drawdown,num_trades
2020-09-30,EURUSD,-1,1,1
2020-10-31,EURUSD,1,2,3
2020-11-30,EURUSD,-1,1,1
2020-12-31,EURUSD,-1,1,1
2021-02-28,EURUSD,3,0,1
2021-03-31,EURUSD,-3,3,3
2021-04-30,EURUSD,-1,1,1
2021-05-31,EURUSD,-3,3,3
2021-06-30,EURUSD,4,1,4
2021-08-31,EURUSD,-2,4,6
2021-09-30,EURUSD,-1,1,1
2021-10-31,EURUSD,11,3,9
2021-11-30,EURUSD,0,3,4
2021-12-31,EURUSD,3,0,1
2022-01-31,EURUSD,-3,3,3
2022-02-28,EURUSD,3,2,9
2022-03-31,EURUSD,3,2,5
2022-04-30,EURUSD,-3,3,3
2022-05-31,EURUSD,-5,7,9
2022-06-30,EURUSD,3,2,5
2022-07-31,EURUSD,-1,1,1
2022-08-31,EURUSD,4,2,4
2022-09-30,EURUSD,1,2,3
2022-11-30,EURUSD,2,1,2
2023-01-31,EURUSD,5,2,7
2023-02-28,EURUSD,5,1,3
2023-03-31,EURUSD,3,2,5
2023-04-30,EURUSD,-4,7,8
2023-06-30,EURUSD,3,0,1
2023-08-31,EURUSD,-1,2,5
2023-09-30,EURUSD,-2,2,2
