Sweep_DateTime,Buy/Sell,Limit,SL,TP,H4_High,H4_Low,Bias,Momentum,Liquidity_Level,Tag_DateTime,Close_DateTime,Return,Type,Currency Pair
2022-08-08 15:00:00,SELL,1.021,1.0222,1.0175,1.02478,1.0163,-1,0,1.02148,2022-08-08 15:15:00,2022-08-09 08:00:00,-1,Potential,EURUSD
2022-08-12 09:30:00,SELL,1.03,1.0311,1.0265,1.0361,1.02108,-1,1,1.03038,2022-08-12 09:45:00,2022-08-12 14:00:00,3,FractalSweep,EURUSD
2022-08-31 08:45:00,BUY,0.9991,0.9971,1.0052,1.00898,0.99208,1,1,0.99989,2022-08-31 09:15:00,2022-08-31 14:30:00,3,Potential,EURUSD
2022-08-31 08:45:00,BUY,0.9991,0.9971,1.0052,1.00898,0.99208,1,1,0.99821,2022-08-31 09:15:00,2022-08-31 14:30:00,3,M15Sweep,EURUSD
2022-09-19 13:15:00,BUY,0.9988,0.9973000000000001,1.0031,1.0139,0.99554,-2,1,0.99804,2022-09-19 13:30:00,2022-09-19 22:00:00,3,FractalSweep,EURUSD
2022-09-20 10:00:00,BUY,1.0007,0.9997,1.0039,1.0139,0.99554,-2,1,1.00002,2022-09-20 10:15:00,2022-09-20 11:30:00,-1,M15Sweep,EURUSD
2022-09-22 15:00:00,BUY,0.9822,0.9809,0.9859,0.99708,0.98112,1,1,0.9812,2022-09-22 15:15:00,2022-09-23 06:45:00,-1,Continued,EURUSD
2022-09-26 14:45:00,BUY,0.9655,0.9632000000000001,0.9723,0.9838,0.96266,-1,1,0.96475,2022-09-26 15:00:00,2022-09-26 15:30:00,-1,FractalSweep,EURUSD
2022-10-14 09:30:00,BUY,0.9732,0.9716,0.978,0.98019,0.96959,1,1,0.97447,2022-10-14 09:45:00,2022-10-14 11:45:00,-1,Potential,EURUSD
2022-11-16 09:15:00,SELL,1.0411,1.0427,1.0362,1.04443,1.03225,-1,1,1.04206,2022-11-16 09:30:00,2022-11-16 10:00:00,-1,M15Sweep,EURUSD
2022-11-22 14:15:00,BUY,1.0264,1.0251000000000001,1.0302,1.03734,1.02267,-2,1,1.0254,2022-11-22 14:30:00,2022-11-22 18:45:00,3,Continued,EURUSD
2022-11-29 13:30:00,BUY,1.0363,1.0351000000000001,1.0399,1.04101,1.03371,1,1,1.03557,2022-11-29 13:45:00,2022-11-29 13:45:00,-1,M15Sweep,EURUSD
2022-12-08 09:45:00,BUY,1.0498,1.0487,1.0533,1.05496,1.0462,1,1,1.05121,2022-12-08 10:00:00,2022-12-08 14:00:00,3,Potential,EURUSD
2022-12-23 08:30:00,BUY,1.0609,1.0596,1.0646,1.06562,1.0582,1,1,1.06018,2022-12-23 08:45:00,2022-12-23 13:30:00,-1,Potential,EURUSD
2022-12-23 09:00:00,BUY,1.0606,1.0593000000000001,1.0645,1.06562,1.0582,1,1,1.05989,2022-12-23 09:15:00,2022-12-23 14:30:00,-1,M15Sweep,EURUSD
2023-01-17 09:45:00,BUY,1.0819,1.0808,1.0852,1.087,1.07803,-1,1,1.08118,2023-01-17 10:00:00,2023-01-17 12:45:00,3,FractalSweep,EURUSD
2023-01-27 08:15:00,BUY,1.0875,1.0862,1.0914,1.09215,1.08634,-2,1,1.08662,2023-01-27 08:30:00,2023-01-27 13:00:00,-1,FractalSweep,EURUSD
2023-02-20 14:30:00,SELL,1.0684,1.0694,1.0655,1.0696,1.06322,-2,1,1.0689,2023-02-20 15:15:00,2023-02-21 09:15:00,3,Continued,EURUSD
2023-02-20 15:00:00,SELL,1.0686,1.0696999999999999,1.0652,1.0696,1.06322,-2,1,1.06921,2023-02-20 15:15:00,2023-02-21 09:15:00,3,M15Sweep,EURUSD
2023-02-24 10:00:00,BUY,1.0588,1.058,1.061,1.06489,1.05807,1,1,1.05842,2023-02-24 10:15:00,2023-02-24 11:30:00,-1,FractalSweep,EURUSD
2023-03-08 10:00:00,BUY,1.054,1.0531,1.0568,1.06925,1.05303,-1,1,1.05346,2023-03-08 10:15:00,2023-03-08 15:00:00,-1,M15Sweep,EURUSD
2023-03-09 13:15:00,BUY,1.0561,1.0549,1.0596,1.06925,1.05303,-1,1,1.05532,2023-03-09 13:30:00,2023-03-10 00:15:00,3,M15Sweep,EURUSD
2023-03-09 08:30:00,BUY,1.0563,1.0545,1.0617,1.06925,1.05303,-1,1,1.05481,2023-03-09 09:15:00,2023-03-10 13:30:00,3,FractalSweep,EURUSD
2023-04-06 09:15:00,BUY,1.0899,1.0889,1.0928,1.09668,1.08907,-1,1,1.08934,2023-04-06 09:30:00,2023-04-06 13:00:00,-1,FractalSweep,EURUSD
2023-04-07 09:00:00,BUY,1.0915,1.0908,1.0937,1.09668,1.08907,-1,1,1.0913,2023-04-07 09:15:00,2023-04-07 12:30:00,-1,FractalSweep,EURUSD
2023-04-07 10:00:00,BUY,1.0914,1.0907,1.0937,1.09668,1.08907,-1,1,1.09112,2023-04-07 10:15:00,2023-04-07 12:30:00,-1,FractalSweep,EURUSD
2023-04-11 14:00:00,SELL,1.0921,1.0931,1.0893,1.09668,1.08324,-1,1,1.09266,2023-04-11 14:15:00,2023-04-12 05:30:00,-1,M15Sweep,EURUSD
2023-04-12 10:00:00,SELL,1.0927,1.0938999999999999,1.089,1.09668,1.08324,-1,1,1.09299,2023-04-12 10:15:00,2023-04-12 12:30:00,-1,FractalSweep,EURUSD
2023-04-21 09:30:00,BUY,1.0959,1.0948,1.0992,1.10758,1.0919,1,1,1.09523,2023-04-21 10:00:00,2023-04-21 13:00:00,3,FractalSweep,EURUSD
