Close Datetime,total_return,drawdown,num_trades
2020-09-30,-1,1,1
2020-10-31,1,2,3
2020-11-30,-1,1,1
2020-12-31,2,1,2
2021-01-31,4,1,4
2021-02-28,-1,3,5
2021-03-31,-1,2,5
2021-04-30,-2,3,6
2021-05-31,-1,3,5
2021-06-30,8,2,8
2021-07-31,-1,1,1
2021-08-31,-2,4,6
2021-09-30,2,4,10
2021-10-31,13,4,11
2021-11-30,-1,4,5
2021-12-31,3,0,1
2022-01-31,-3,3,3
2022-02-28,3,2,9
2022-03-31,2,2,6
2022-04-30,-3,3,3
2022-05-31,-9,11,13
2022-06-30,2,2,6
2022-07-31,-6,6,6
2022-08-31,5,4,7
2022-09-30,1,3,7
2022-10-31,5,1,3
2022-11-30,0,3,4
2022-12-31,-2,2,2
2023-01-31,11,3,13
2023-02-28,10,2,6
2023-03-31,1,3,7
2023-04-30,-4,7,8
2023-05-31,3,0,1
2023-06-30,7,2,5
2023-07-31,3,3,5
2023-08-31,-4,5,8
2023-09-30,-1,3,5
