,Datetime,H4_high,H4_low,Last_Fractal_High,Last_Fractal_Low,Directional_bias,result,daily_momentum
4,2020-09-16 18:00:00,0.91103,0.90632,0.90937,0.90835,1,1,0.0
5,2020-09-16 22:00:00,0.9128,0.90835,0.90937,0.90835,1,1,0.0
6,2020-09-17 02:00:00,0.91391,0.90835,0.90937,0.90835,1,-1,0.0
8,2020-09-17 18:00:00,0.91391,0.908,0.91391,0.90835,-1,-1,0.0
9,2020-09-17 22:00:00,0.91391,0.9076,0.91391,0.90835,-1,-1,0.0
10,2020-09-18 06:00:00,0.91391,0.90745,0.91391,0.90835,-1,1,0.0
13,2020-09-21 06:00:00,0.91541,0.90863,0.9115,0.90745,2,1,0.0
15,2020-09-21 10:00:00,0.91581,0.90863,0.9115,0.90863,2,1,0.0
16,2020-09-21 14:00:00,0.9171,0.90863,0.9115,0.90863,2,1,0.0
18,2020-09-22 06:00:00,0.91731,0.90863,0.9171,0.90863,1,1,0.0
20,2020-09-22 14:00:00,0.92073,0.91361,0.9171,0.91361,1,1,0.0
21,2020-09-22 22:00:00,0.92181,0.91361,0.9171,0.91361,1,1,0.0
22,2020-09-23 06:00:00,0.92224,0.91894,0.9171,0.91361,1,1,0.0
24,2020-09-23 10:00:00,0.92235,0.91894,0.9171,0.91894,1,1,0.0
25,2020-09-23 14:00:00,0.92425,0.91894,0.9171,0.91894,1,1,0.0
26,2020-09-23 18:00:00,0.92432,0.91894,0.9171,0.91894,1,1,0.0
27,2020-09-23 22:00:00,0.9245,0.92156,0.9171,0.91894,1,1,0.0
29,2020-09-24 06:00:00,0.92691,0.92156,0.9171,0.92156,1,1,0.0
30,2020-09-24 14:00:00,0.92798,0.92156,0.9171,0.92156,1,1,0.0
32,2020-09-25 06:00:00,0.92811,0.92502,0.92798,0.92156,1,1,0.0
34,2020-09-25 10:00:00,0.929,0.92502,0.92798,0.92502,1,1,0.0
35,2020-09-25 14:00:00,0.92961,0.92502,0.92798,0.92502,1,-1,0.0
38,2020-09-28 14:00:00,0.92953,0.92417,0.92953,0.92502,-1,-1,0.0
39,2020-09-28 18:00:00,0.92953,0.92364,0.92953,0.92502,-1,-1,0.0
40,2020-09-28 22:00:00,0.92953,0.92338,0.92953,0.92502,-1,-1,0.0
41,2020-09-29 06:00:00,0.92953,0.92224,0.92953,0.92502,-1,-1,0.0
42,2020-09-29 10:00:00,0.92953,0.92011,0.92953,0.92502,-1,-1,0.0
43,2020-09-29 14:00:00,0.92953,0.91905,0.92953,0.92502,-1,-1,0.0
44,2020-09-29 18:00:00,0.92953,0.91892,0.92953,0.92502,-1,-1,0.0
