"2023.01.01","20:00","NZD","N","Bank Holiday","","","","","130672"
"2023.01.01","21:00","AUD","N","Bank Holiday","","","","","130315"
"2023.01.02","00:00","JPY","N","Bank Holiday","","","","","133648"
"2023.01.02","00:01","CNY","N","Bank Holiday","","","","","133702"
"2023.01.02","06:00","CHF","N","Bank Holiday","","","","","133739"
"2023.01.02","08:00","GBP","N","Bank Holiday","","","","","133639"
"2023.01.02","08:15","EUR","L","Spanish Manufacturing PMI","46.4","45.9","45.7","","129087"
"2023.01.02","08:45","EUR","L","Italian Manufacturing PMI","48.5","48.5","48.4","","129075"
"2023.01.02","08:50","EUR","L","French Final Manufacturing PMI","49.2","48.9","48.9","","129111"
"2023.01.02","08:55","EUR","L","German Final Manufacturing PMI","47.1","47.4","47.4","","129135"
"2023.01.02","09:00","EUR","L","Final Manufacturing PMI","47.8","47.8","47.8","","129123"
"2023.01.02","13:00","CAD","N","Bank Holiday","","","","","130255"
"2023.01.02","13:00","USD","N","Bank Holiday","","","","","129993"
"2023.01.02","20:00","NZD","N","Bank Holiday","","","","","130673"
"2023.01.03","00:00","JPY","N","Bank Holiday","","","","","133649"
"2023.01.03","01:45","CNY","L","Caixin Manufacturing PMI","49.0","49.2","49.4","","131470"
"2023.01.03","05:30","AUD","L","Commodity Prices y/y","15.6%","","19.6%","19.1%","130614"
"2023.01.03","07:29","EUR","L","German Prelim CPI m/m","-0.8%","-0.6%","-0.5%","","131783"
"2023.01.03","08:00","EUR","L","Spanish Unemployment Change","-43.7K","-40.3K","-33.5K","","129390"
"2023.01.03","08:30","CHF","L","Manufacturing PMI","54.1","53.0","53.9","","129100"
"2023.01.03","08:55","EUR","L","German Unemployment Change","-13K","15K","15K","17K","125490"
"2023.01.03","09:30","GBP","L","Final Manufacturing PMI","45.3","44.7","44.7","","129147"
"2023.01.03","14:30","CAD","L","Manufacturing PMI","49.2","","49.6","","130451"
"2023.01.03","14:39","NZD","L","GDT Price Index","-2.8%","","-3.8%","","128732"
"2023.01.03","14:45","USD","L","Final Manufacturing PMI","46.2","46.2","46.2","","130464"
"2023.01.03","15:00","USD","L","Construction Spending m/m","0.2%","-0.4%","-0.2%","-0.3%","129959"
"2023.01.04","00:01","GBP","L","BRC Shop Price Index y/y","7.3%","","7.4%","","126515"
"2023.01.04","00:30","JPY","L","Final Manufacturing PMI","48.9","48.8","48.8","","128798"
"2023.01.04","07:00","EUR","L","German Import Prices m/m","-4.5%","-1.7%","-1.2%","","125581"
"2023.01.04","07:30","CHF","H","CPI m/m","-0.2%","-0.1%","0.0%","","131391"
"2023.01.04","07:45","EUR","L","French Prelim CPI m/m","-0.1%","0.5%","0.3%","","133742"
"2023.01.04","08:15","EUR","L","Spanish Services PMI","51.6","50.8","51.2","","129171"
"2023.01.04","08:45","EUR","L","Italian Services PMI","49.9","49.5","49.5","","129159"
"2023.01.04","08:50","EUR","L","French Final Services PMI","49.5","48.1","48.1","","129183"
"2023.01.04","08:55","EUR","L","German Final Services PMI","49.2","49.0","49.0","","129197"
"2023.01.04","09:00","EUR","L","Final Services PMI","49.8","49.1","49.1","","129196"
"2023.01.04","09:30","GBP","L","M4 Money Supply m/m","-1.6%","0.2%","0.1%","0.0%","133743"
"2023.01.04","09:30","GBP","L","Mortgage Approvals","46K","54K","58K","59K","133195"
"2023.01.04","09:30","GBP","L","Net Lending to Individuals m/m","5.9B","4.5B","4.3B","4.7B","133196"
"2023.01.04","15:00","USD","H","ISM Manufacturing PMI","48.4","48.5","49.0","","130004"
"2023.01.04","15:00","USD","H","JOLTS Job Openings","10.46M","10.04M","10.51M","10.33M","132217"
"2023.01.04","15:00","USD","L","ISM Manufacturing Prices","39.4","42.9","43.0","","130005"
"2023.01.04","15:15","USD","L","Wards Total Vehicle Sales","13.3M","13.4M","14.1M","","130532"
"2023.01.04","19:00","USD","H","FOMC Meeting Minutes","","","","","130116"
"2023.01.04","23:50","JPY","L","Monetary Base y/y","-6.1%","-6.1%","-6.4%","","128178"
"2023.01.05","01:45","CNY","L","Caixin Services PMI","48.0","46.8","46.7","","131469"
"2023.01.05","03:35","JPY","L","10-y Bond Auction","0.50|4.8","","0.25|6.0","","128770"
"2023.01.05","05:00","JPY","L","Consumer Confidence","30.3","28.2","28.6","","128209"
"2023.01.05","07:00","EUR","L","German Trade Balance","10.8B","7.5B","6.8B","6.9B","132102"
"2023.01.05","09:30","GBP","L","Final Services PMI","49.9","50.0","50.0","","129209"
"2023.01.05","09:58","EUR","L","French 10-y Bond Auction","2.77|1.9","","2.19|2.2","","133767"
"2023.01.05","10:00","EUR","L","PPI m/m","-0.9%","-0.8%","-3.0%","-2.9%","132689"
"2023.01.05","10:00","EUR","L","Italian Prelim CPI m/m","0.3%","0.2%","0.5%","","122594"
"2023.01.05","12:30","USD","L","Challenger Job Cuts y/y","129.1%","","416.5%","","130076"
"2023.01.05","13:15","USD","H","ADP Non-Farm Employment Change","235K","152K","182K","127K","133613"
"2023.01.05","13:30","CAD","L","Trade Balance","0.0B","1.3B","0.1B","1.2B","132585"
"2023.01.05","13:30","USD","M","Unemployment Claims","204K","230K","223K","225K","130200"
"2023.01.05","13:30","USD","L","Trade Balance","-61.5B","-64.2B","-77.8B","-78.2B","129778"
"2023.01.05","14:45","USD","L","Final Services PMI","44.7","44.4","44.4","","130476"
"2023.01.05","15:30","USD","L","Natural Gas Storage","-221B","-230B","-213B","","128430"
"2023.01.05","16:00","USD","L","Crude Oil Inventories","1.7M","1.5M","0.7M","","129391"
"2023.01.05","23:30","JPY","L","Average Cash Earnings y/y","0.5%","1.7%","1.4%","1.8%","128870"
"2023.01.06","07:00","EUR","L","German Factory Orders m/m","-5.3%","-0.5%","0.6%","0.8%","132103"
"2023.01.06","07:00","EUR","L","German Retail Sales m/m","1.1%","1.5%","-2.8%","","133744"
"2023.01.06","07:00","GBP","L","Halifax HPI m/m","-1.5%","-0.6%","-2.4%","-2.3%","133320"
"2023.01.06","07:03","EUR","N","Italian Bank Holiday","","","","","133746"
"2023.01.06","07:36","CHF","L","Retail Sales y/y","-1.3%","-1.0%","-2.6%","-2.5%","133745"
"2023.01.06","07:45","EUR","L","French Consumer Spending m/m","0.5%","1.0%","-2.7%","-2.8%","125015"
"2023.01.06","09:30","GBP","L","Construction PMI","48.8","50.6","50.4","","129232"
"2023.01.06","10:00","EUR","M","Core CPI Flash Estimate y/y","5.2%","5.1%","5.0%","","132642"
"2023.01.06","10:00","EUR","M","CPI Flash Estimate y/y","9.2%","9.6%","10.1%","10.0%","132641"
"2023.01.06","10:00","EUR","L","Retail Sales m/m","0.8%","0.5%","-1.5%","-1.8%","132690"
"2023.01.06","13:30","CAD","H","Employment Change","104.0K","5.5K","10.1K","","132518"
"2023.01.06","13:30","CAD","H","Unemployment Rate","5.0%","5.2%","5.1%","","132517"
"2023.01.06","13:30","USD","H","Average Hourly Earnings m/m","0.3%","0.4%","0.4%","0.6%","129722"
"2023.01.06","13:30","USD","H","Non-Farm Employment Change","223K","200K","256K","263K","129724"
"2023.01.06","13:30","USD","H","Unemployment Rate","3.5%","3.7%","3.7%","","129723"
"2023.01.06","15:00","CAD","M","Ivey PMI","33.4","51.0","51.4","","130644"
"2023.01.06","15:00","USD","H","ISM Services PMI","49.6","55.0","56.5","","130052"
