Date,Time,Currency,Name,,,,,
2020-01-02 00:00:00,01:45,CNY,Caixin Manufacturing PMI,51.5,51.7,51.8,,115308
2020-01-03 00:00:00,15:00,USD,ISM Manufacturing PMI,47.2,49.0,48.1,,111377
2020-01-03 00:00:00,19:00,USD,FOMC Meeting Minutes,,,,,111365
2020-01-07 00:00:00,15:00,USD,ISM Services PMI,55.0,54.5,53.9,,111492
2020-01-08 00:00:00,00:30,AUD,Building Approvals m/m,11.8%,2.1%,-7.9%,-8.1%,114686
2020-01-08 00:00:00,13:15,USD,ADP Non-Farm Employment Change,202K,160K,124K,67K,111101
2020-01-08 00:00:00,16:26,USD,President Trump Speaks,,,,,115865
2020-01-09 00:00:00,00:30,AUD,Trade Balance,5.80B,4.10B,4.08B,4.50B,114672
2020-01-09 00:00:00,09:30,GBP,BOE Gov Carney Speaks,,,,,115862
2020-01-09 00:00:00,18:45,CAD,BOC Gov Poloz Speaks,,,,,115857
2020-01-10 00:00:00,00:30,AUD,Retail Sales m/m,0.9%,0.4%,0.1%,0.0%,114660
2020-01-10 00:00:00,13:30,CAD,Employment Change,35.2K,24.9K,-71.2K,,111276
2020-01-10 00:00:00,13:30,CAD,Unemployment Rate,5.6%,5.8%,5.9%,,111275
2020-01-10 00:00:00,13:30,USD,Average Hourly Earnings m/m,0.1%,0.3%,0.3%,0.2%,111066
2020-01-10 00:00:00,13:30,USD,Non-Farm Employment Change,145K,162K,256K,266K,111067
2020-01-10 00:00:00,13:30,USD,Unemployment Rate,3.5%,3.5%,3.5%,,111065
2020-01-13 00:00:00,15:30,CAD,BOC Business Outlook Survey,,,,,113655
2020-01-13 00:00:00,21:00,NZD,NZIER Business Confidence,-21,,-40,,113373
2020-01-14 00:00:00,13:30,USD,Core CPI m/m,0.1%,0.2%,0.2%,,114133
2020-01-14 00:00:00,13:30,USD,CPI m/m,0.2%,0.2%,0.3%,,114132
2020-01-14 00:00:00,13:30,USD,CPI y/y,2.3%,2.3%,2.1%,,128626
2020-01-15 00:00:00,08:40,GBP,MPC Member Saunders Speaks,,,,,115868
2020-01-15 00:00:00,09:30,GBP,CPI y/y,1.3%,1.5%,1.5%,,112287
2020-01-16 00:00:00,12:30,EUR,ECB Monetary Policy Meeting Accounts,,,,,112837
