Date,Time,Currency,Name,,
29/09/2023,13:30,USD,Core PCE Price Index m/m,,Jun-Sept 23 with ALL Red folder news
29/09/2023,15:00,USD,Revised UoM Consumer Sentiment,,"before Jun is just dates, times and currencies"
28/09/2023,13:30,USD,Final GDP q/q,,
28/09/2023,13:30,USD,Unemployment Claims,,
28/09/2023,21:00,USD,Fed Chair Powell Speaks,,
28/09/2023,8:00,EUR,Spanish Flash CPI,,
26/09/2023,15:00,USD,CB Consumer Confidence ,,
25/09/2023,9:00,EUR,German ifo Business Climate,,
22/09/2023,8:15,EUR,French Flash Manufacturing PMI,,
22/09/2023,8:15,EUR,French Flash Services PMI,,
22/09/2023,8:30,EUR,German Flash Manufacturing PMI,,
22/09/2023,8:30,EUR,German Flash Services PMI,,
21/09/2023,8:30,CHF,SNP Monetary Policy Assessment,,
21/09/2023,8:30,CHF,SNB Policy Rate,,
21/09/2023,9:00,CHF,SNB Press Conference,,
21/09/2023,12:00,GBP,Monetary Policy Summary,,
21/09/2023,12:00,GBP,MPC Official Bank Rate Votes,,
21/09/2023,12:00,GBP,Official Bank Rate,,
21/09/2023,13:30,USD,Unemployment Claims,,
20/09/2023,7:00,GBP,CPI y/y,,
20/09/2023,19:00,USD,Federal Funds Rate,,
20/09/2023,19:00,USD,FOMC Economic Projections,,
20/09/2023,19:00,USD,FOMC Statement,,
20/09/2023,19:30,USD,FOMC Press Conference,,
15/09/2023,1:30,USD,Empire State Manufacturing Index,,
15/09/2023,15:00,USD,Prelim UoM Consumer Sentiment,,
14/09/2023,1:30,USD,Core PPI m/m,,
14/09/2023,1:30,USD,Core Retial Sales m/m,,
14/09/2023,1:30,USD,PPI m/m,,
14/09/2023,1:30,USD,Retail Sales m/m,,
14/09/2023,1:30,USD,Unemployment Claims,,
14/09/2023,13:15,EUR,Main Refinancing Rate,,
14/09/2023,13:15,EUR,Monetary Policy Statement,,
14/09/2023,13:45,EUR,ECB Press Conference,,
13/09/2023,7:00,GBP,GDP,,
13/09/2023,1:30,USD,Core CPI,,
13/09/2023,1:30,USD,CPI m/m,,
13/09/2023,1:30,USD,CPI y/y,,
12/09/2023,7:00,GBP,Claimant Count Change,,
07/09/2023,13:39,USD,Unemployment Rate,,
06/09/2023,15:00,USD,ISM Manufacturing PMI,,
01/09/2023,7:30,CHF,CPI m/m,,
01/09/2023,13:30,USD,Average Hourly Earnings,,
01/09/2023,13:30,USD,Non Farm Employment Change,,
01/09/2023,13:30,USD,Unemployment Rate,,
01/09/2023,15:00,USD,ISM Manufacturing PMI,,
31/08/2023,13:30,USD,Core PCE Price Index m/m,,
31/08/2023,13:30,USD,Unemployment Claims,,
30/08/2023,8:00,EUR,Spanish Flash CPI,,
